Region,Medals,Games,Host
Australia,2,1896,No
Japan,0,1896,No
China,0,1896,No
South Korea,0,1896,No
Russia,0,1896,No
Italy,0,1896,No
France,2,1896,No
Greece,10,1896,Yes
UK,2,1896,No
Germany,1,1896,No
Belgium,0,1896,No
Netherlands,0,1896,No
Spain,0,1896,No
Sweden,0,1896,No
Finland,0,1896,No
USA,17,1896,No
Canada,0,1896,No
Mexico,0,1896,No
Brazil,0,1896,No
Australia,4,1900,No
Japan,0,1900,No
China,0,1900,No
South Korea,0,1900,No
Russia,0,1900,No
Italy,0,1900,No
France,10,1900,Yes
Greece,0,1900,No
UK,12,1900,No
Germany,1,1900,No
Belgium,0,1900,No
Netherlands,0,1900,No
Spain,0,1900,No
Sweden,1,1900,No
Finland,0,1900,No
USA,39,1900,No
Canada,2,1900,No
Mexico,0,1900,No
Brazil,0,1900,No
Australia,0,1904,No
Japan,0,1904,No
China,0,1904,No
South Korea,0,1904,No
Russia,0,1904,No
Italy,0,1904,No
France,2,1904,No
Greece,1,1904,No
UK,2,1904,No
Germany,1,1904,No
Belgium,0,1904,No
Netherlands,0,1904,No
Spain,0,1904,No
Sweden,0,1904,No
Finland,0,1904,No
USA,72,1904,Yes
Canada,0,1904,No
Mexico,0,1904,No
Brazil,0,1904,No
Australia,2,1906,No
Japan,0,1906,No
China,0,1906,No
South Korea,0,1906,No
Russia,0,1906,No
Italy,0,1906,No
France,1,1906,No
Greece,7,1906,Yes
UK,9,1906,No
Germany,2,1906,No
Belgium,1,1906,No
Netherlands,0,1906,No
Spain,0,1906,No
Sweden,11,1906,No
Finland,2,1906,No
USA,23,1906,No
Canada,2,1906,No
Mexico,0,1906,No
Brazil,0,1906,No
Australia,1,1908,No
Japan,0,1908,No
China,0,1908,No
South Korea,0,1908,No
Russia,0,1908,No
Italy,1,1908,No
France,6,1908,No
Greece,3,1908,No
UK,21,1908,Yes
Germany,5,1908,No
Belgium,0,1908,No
Netherlands,0,1908,No
Spain,0,1908,No
Sweden,5,1908,No
Finland,1,1908,No
USA,41,1908,No
Canada,6,1908,No
Mexico,0,1908,No
Brazil,0,1908,No
Australia,0,1912,No
Japan,0,1912,No
China,0,1912,No
South Korea,0,1912,No
Russia,0,1912,No
Italy,1,1912,No
France,5,1912,No
Greece,2,1912,No
UK,22,1912,No
Germany,2,1912,No
Belgium,0,1912,No
Netherlands,0,1912,No
Spain,0,1912,No
Sweden,33,1912,Yes
Finland,20,1912,No
USA,49,1912,No
Canada,5,1912,No
Mexico,0,1912,No
Brazil,0,1912,No
Australia,1,1920,No
Japan,0,1920,No
China,0,1920,No
South Korea,0,1920,No
Russia,0,1920,No
Italy,4,1920,No
France,10,1920,No
Greece,0,1920,No
UK,25,1920,No
Germany,0,1920,No
Belgium,0,1920,Yes
Netherlands,0,1920,No
Spain,0,1920,No
Sweden,26,1920,No
Finland,21,1920,No
USA,36,1920,No
Canada,1,1920,No
Mexico,0,1920,No
