ID,Country,Medal Count,Games,Host
1,Australia,0,1896 Summer,No
2,Japan,0,1896 Summer,No
3,China,0,1896 Summer,No
4,South Korea,0,1896 Summer,No
5,Russia,0,1896 Summer,No
6,Italy,0,1896 Summer,No
7,France,0,1896 Summer,No
8,Greece,6,1896 Summer,Yes
9,UK,0,1896 Summer,No
10,Germany,0,1896 Summer,No
11,Belgium,0,1896 Summer,No
12,Netherlands,1,1896 Summer,No
13,Spain,0,1896 Summer,No
14,Sweden,0,1896 Summer,No
15,Finland,0,1896 Summer,No
16,USA,0,1896 Summer,No
17,Canada,0,1896 Summer,No
18,Mexico,0,1896 Summer,No
19,Brazil,0,1896 Summer,No
20,Australia,2,1900 Summer,No
21,Japan,0,1900 Summer,No
22,China,0,1900 Summer,No
23,South Korea,0,1900 Summer,No
24,Russia,0,1900 Summer,No
25,Italy,0,1900 Summer,No
26,France,12,1900 Summer,Yes
27,Greece,0,1900 Summer,No
28,UK,3,1900 Summer,No
29,Germany,5,1900 Summer,No
30,Belgium,0,1900 Summer,No
31,Netherlands,0,1900 Summer,No
32,Spain,0,1900 Summer,No
33,Sweden,0,1900 Summer,No
34,Finland,0,1900 Summer,No
35,USA,0,1900 Summer,No
36,Canada,0,1900 Summer,No
37,Mexico,0,1900 Summer,No
38,Brazil,0,1900 Summer,No
39,Australia,4,1904 Summer,No
40,Japan,0,1904 Summer,No
41,China,0,1904 Summer,No
42,South Korea,0,1904 Summer,No
43,Russia,0,1904 Summer,No
44,Italy,0,1904 Summer,No
45,France,0,1904 Summer,No
46,Greece,0,1904 Summer,No
47,UK,0,1904 Summer,No
48,Germany,8,1904 Summer,No
49,Belgium,0,1904 Summer,No
50,Netherlands,0,1904 Summer,No
51,Spain,0,1904 Summer,No
52,Sweden,0,1904 Summer,No
53,Finland,0,1904 Summer,No
54,USA,22,1904 Summer,Yes
55,Canada,0,1904 Summer,No
56,Mexico,0,1904 Summer,No
57,Brazil,0,1904 Summer,No
58,Australia,1,1906 Summer,No
59,Japan,0,1906 Summer,No
60,China,0,1906 Summer,No
61,South Korea,0,1906 Summer,No
62,Russia,0,1906 Summer,No
63,Italy,0,1906 Summer,No
64,France,0,1906 Summer,No
65,Greece,0,1906 Summer,Yes
66,UK,8,1906 Summer,No
67,Germany,4,1906 Summer,No
68,Belgium,0,1906 Summer,No
69,Netherlands,0,1906 Summer,No
70,Spain,0,1906 Summer,No
71,Sweden,0,1906 Summer,No
72,Finland,0,1906 Summer,No
73,USA,1,1906 Summer,No
74,Canada,0,1906 Summer,No
75,Mexico,0,1906 Summer,No
76,Brazil,0,1906 Summer,No
77,Australia,2,1908 Summer,No
78,Japan,0,1908 Summer,No
79,China,0,1908 Summer,No
80,South Korea,0,1908 Summer,No
81,Russia,0,1908 Summer,No
82,Italy,0,1908 Summer,No
83,France,0,1908 Summer,No
84,Greece,0,1908 Summer,No
85,UK,10,1908 Summer,Yes
86,Germany,1,1908 Summer,No
87,Belgium,0,1908 Summer,No
88,Netherlands,0,1908 Summer,No
89,Spain,0,1908 Summer,No
90,Sweden,2,1908 Summer,No
91,Finland,0,1908 Summer,No
92,USA,5,1908 Summer,No
93,Canada,0,1908 Summer,No
94,Mexico,0,1908 Summer,No
95,Brazil,0,1908 Summer,No
96,Australia,9,1912 Summer,No
97,Japan,0,1912 Summer,No
98,China,0,1912 Summer,No
99,South Korea,0,1912 Summer,No
100,Russia,0,1912 Summer,No
101,Italy,0,1912 Summer,No
