Region,"1896,Swimming","1900,Swimming","1904,Swimming","1906,Swimming","1908,Swimming","1912,Swimming","1920,Swimming","1924,Swimming","1928,Swimming","1932,Swimming","1936,Swimming","1948,Swimming","1952,Swimming","1956,Swimming","1960,Swimming","1964,Swimming","1968,Swimming","1972,Swimming","1976,Swimming","1980,Swimming","1984,Swimming","1988,Swimming","1992,Swimming","1996,Swimming","2000,Swimming","2004,Swimming","2008,Swimming","2012,Swimming","2016,Swimming"
Australia,0,2,4,1,2,9,6,8,2,2,0,4,1,25,34,20,18,10,1,11,20,3,9,25,46,31,54,32,32
Belgium,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,7,8,20,0,16,10,6,3,1,0,1,3,15
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,12,0,6,14,15,6
Finland,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
France,0,12,0,0,0,0,0,0,0,1,0,5,6,0,0,1,1,0,0,0,2,2,3,0,1,6,11,21,8
Germany,0,5,8,4,1,10,0,0,3,0,6,0,1,2,10,15,18,42,35,42,21,53,27,30,11,17,3,1,0
Greece,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,6,7,2,1,4
Japan,0,0,0,0,0,0,0,0,7,15,14,0,6,5,13,5,0,3,0,0,0,1,1,0,7,11,8,17,10
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1,0,0,0,0,0,0,0,3,5,8,6,6,0,3,10,1,0,2,4,10,5,0,2,16,15,7,8,2
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,22,14,14,40,0,21,30,19,2,1,8,9,4
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,2,1,8,12,2,0,0,0,2,0,1,0,0,2,0,10,7,1,6,4,9,0,0,0,3
UK,0,3,0,8,10,12,8,7,7,5,0,1,1,2,3,1,1,1,6,13,8,3,1,2,0,2,6,3,13
USA,0,0,22,1,5,7,22,26,21,16,17,25,19,22,40,61,83,74,55,0,63,45,56,60,66,65,68,68,71
Total,7,22,34,14,20,41,49,54,49,44,45,41,42,61,104,121,153,157,133,120,148,149,155,160,165,161,185,180,170
