Region,1896,1900,1904,1906,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,"1896,Athletics","1900,Athletics","1904,Athletics","1906,Athletics","1908,Athletics","1912,Athletics","1920,Athletics","1924,Athletics","1928,Athletics","1932,Athletics","1936,Athletics","1948,Athletics","1952,Athletics","1956,Athletics","1960,Athletics","1964,Athletics","1968,Athletics","1972,Athletics","1976,Athletics","1980,Athletics","1984,Athletics","1988,Athletics","1992,Athletics","1996,Athletics","2000,Athletics","2004,Athletics","2008,Athletics","2012,Athletics","2016,Athletics","1896,Cycling","1896,Gymnastics","1896,Swimming","1896,Weightlifting","1896,Wrestling","1900,Archery","1900,Cycling","1900,Gymnastics","1900,Rowing","1900,Sailing","1900,Swimming","1904,Archery","1904,Cycling","1904,Diving","1904,Gymnastics","1904,Rowing","1904,Swimming","1904,Weightlifting","1904,Wrestling","1906,Cycling","1906,Diving","1906,Gymnastics","1906,Rowing","1906,Swimming","1906,Weightlifting","1906,Wrestling","1908,Archery","1908,Cycling","1908,Diving","1908,Gymnastics","1908,Rowing","1908,Sailing","1908,Swimming","1908,Wrestling","1912,Cycling","1912,Diving","1912,Gymnastics","1912,Rowing","1912,Sailing","1912,Swimming","1912,Wrestling","1920,Archery","1920,Cycling","1920,Diving","1920,Gymnastics","1920,Rowing","1920,Sailing","1920,Swimming","1920,Weightlifting","1920,Wrestling","1924,Cycling","1924,Diving","1924,Gymnastics","1924,Rowing","1924,Sailing","1924,Swimming","1924,Weightlifting","1924,Wrestling","1928,Cycling","1928,Diving","1928,Gymnastics","1928,Rowing","1928,Sailing","1928,Swimming","1928,Weightlifting","1928,Wrestling","1932,Cycling","1932,Diving","1932,Gymnastics","1932,Rowing","1932,Sailing","1932,Swimming","1932,Weightlifting","1932,Wrestling","1936,Cycling","1936,Diving","1936,Gymnastics","1936,Rowing","1936,Sailing","1936,Swimming","1936,Weightlifting","1936,Wrestling","1948,Cycling","1948,Diving","1948,Gymnastics","1948,Rowing","1948,Sailing","1948,Swimming","1948,Weightlifting","1948,Wrestling","1952,Cycling","1952,Diving","1952,Gymnastics","1952,Rowing","1952,Sailing","1952,Swimming","1952,Weightlifting","1952,Wrestling","1956,Cycling","1956,Diving","1956,Gymnastics","1956,Rowing","1956,Sailing","1956,Swimming","1956,Weightlifting","1956,Wrestling","1960,Cycling","1960,Diving","1960,Gymnastics","1960,Rowing","1960,Sailing","1960,Swimming","1960,Weightlifting","1960,Wrestling","1964,Cycling","1964,Diving","1964,Gymnastics","1964,Rowing","1964,Sailing","1964,Swimming","1964,Weightlifting","1964,Wrestling","1968,Archery","1968,Cycling","1968,Diving","1968,Gymnastics","1968,Rowing","1968,Sailing","1968,Swimming","1968,Weightlifting","1968,Wrestling","1972,Archery","1972,Cycling","1972,Diving","1972,Gymnastics","1972,Rowing","1972,Sailing","1972,Swimming","1972,Weightlifting","1972,Wrestling","1976,Archery","1976,Cycling","1976,Diving","1976,Gymnastics","1976,Rowing","1976,Sailing","1976,Swimming","1976,Weightlifting","1976,Wrestling","1980,Archery","1980,Cycling","1980,Diving","1980,Gymnastics","1980,Rowing","1980,Sailing","1980,Swimming","1980,Weightlifting","1980,Wrestling","1984,Archery","1984,Cycling","1984,Diving","1984,Gymnastics","1984,Rowing","1984,Sailing","1984,Swimming","1984,Weightlifting","1984,Wrestling","1988,Archery","1988,Cycling","1988,Diving","1988,Gymnastics","1988,Rowing","1988,Sailing","1988,Swimming","1988,Weightlifting","1988,Wrestling","1992,Archery","1992,Cycling","1992,Diving","1992,Gymnastics","1992,Rowing","1992,Sailing","1992,Swimming","1992,Weightlifting","1992,Wrestling","1996,Archery","1996,Cycling","1996,Diving","1996,Gymnastics","1996,Rowing","1996,Sailing","1996,Swimming","1996,Weightlifting","1996,Wrestling","2000,Archery","2000,Cycling","2000,Diving","2000,Gymnastics","2000,Rowing","2000,Sailing","2000,Swimming","2000,Weightlifting","2000,Wrestling","2004,Archery","2004,Cycling","2004,Diving","2004,Gymnastics","2004,Rowing","2004,Sailing","2004,Swimming","2004,Weightlifting","2004,Wrestling","2008,Archery","2008,Cycling","2008,Diving","2008,Gymnastics","2008,Rowing","2008,Sailing","2008,Swimming","2008,Weightlifting","2008,Wrestling","2012,Archery","2012,Cycling","2012,Diving","2012,Gymnastics","2012,Rowing","2012,Sailing","2012,Swimming","2012,Weightlifting","2012,Wrestling","2016,Archery","2016,Cycling","2016,Diving","2016,Gymnastics","2016,Rowing","2016,Sailing","2016,Swimming","2016,Weightlifting","2016,Wrestling","1924,Archery","1928,Archery","1932,Archery","1936,Archery","1948,Archery","1952,Archery","1956,Archery","1960,Archery","1964,Archery","1900,Wrestling","1900,Weightlifting","1908,Weightlifting","1912,Weightlifting","1896,Sailing","1904,Sailing","1906,Sailing","1896,Diving","1900,Diving","1896,Rowing"
Australia,3,6,4,3,19,10,7,10,4,5,1,16,20,67,46,44,51,20,23,13,52,35,57,132,183,157,149,114,82,2,4,0,2,1,0,1,1,0,0,1,9,4,19,4,6,6,2,0,1,3,2,2,2,3,6,4,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,8,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,4,0,0,10,0,1,1,0,3,0,0,12,5,25,0,0,0,0,0,0,0,34,0,0,0,0,0,0,3,20,0,0,0,0,0,0,9,0,18,0,0,0,3,0,0,0,5,10,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,18,2,20,2,0,0,8,0,0,0,0,3,0,0,0,8,0,0,6,3,9,0,0,0,9,0,0,16,4,25,1,0,1,9,4,0,21,7,46,0,0,1,17,9,0,19,0,31,0,0,0,1,3,0,8,6,54,0,0,0,10,1,0,13,8,32,0,0,3,6,2,0,9,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,43,0,11,33,19,188,39,5,1,14,15,8,2,4,3,3,2,9,1,5,2,3,6,7,3,5,3,21,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,2,3,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,9,3,0,0,0,0,0,1,0,0,0,45,5,0,48,0,11,1,3,0,9,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,7,0,0,0,0,10,3,1,13,12,4,2,3,9,36,23,14,63,48,40,78,59,50,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,1,2,0,4,5,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,2,48,2,52,8,16,20,33,39,22,7,4,19,9,5,10,11,23,0,87,23,44,50,31,17,35,55,69,0,2,0,2,6,5,1,0,14,15,7,4,0,0,0,2,0,0,1,0,15,1,3,6,0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,11,0,4,0,3,0,0,0,11,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,23,6,16,1,2,0,0,0,0,0,2,10,0,0,0,1,0,0,25,2,6,0,1,0,5,1,0,21,0,3,0,1,0,0,3,0,9,0,1,0,1,0,2,3,1,4,2,0,0,1,0,0,2,0,17,0,1,0,2,0,3,4,0,18,0,3,1,2,0,6,3,0,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,52,82,107,79,96,184,126,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,21,0,0,0,6,0,0,0,6,2,14,0,4,5,0,3,0,5,13,2,1,13,4,1,1,0,5,12,2,1,12,4,1,0,1,14,12,0,0,0,7,1,3,1,12,3,0,1,6,8,1,7,1,15,24,6,2,14,9,3,4,5,14,12,2,1,15,7,1,0,2,14,10,3,1,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,4,30,71,52,52,25,29,27,33,40,26,6,5,4,10,6,9,12,4,7,4,5,2,5,5,1,0,0,0,2,1,20,21,27,14,11,10,3,1,3,1,1,1,4,4,2,4,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,3,0,0,20,0,19,0,7,0,0,0,0,0,0,2,0,12,0,0,0,0,1,0,0,16,0,0,1,0,1,0,0,9,0,0,9,0,0,0,0,8,0,0,9,0,0,0,0,6,0,0,17,0,0,0,0,3,0,0,8,4,5,0,0,4,0,0,6,5,0,0,0,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,11,235,2,64,40,26,141,110,50,40,44,72,40,33,12,31,27,22,20,29,67,29,57,51,66,53,77,82,96,2,10,2,1,6,5,10,8,3,1,0,11,2,1,2,5,5,5,1,4,4,4,1,4,0,5,2,6,6,6,0,0,0,0,13,5,3,16,72,12,0,0,0,0,0,0,0,0,7,0,4,18,0,1,0,3,6,0,1,0,3,0,0,0,0,1,0,3,0,0,27,5,0,28,5,3,0,3,0,10,0,13,9,5,0,2,1,1,0,0,3,6,0,3,3,8,0,0,3,1,1,3,2,14,0,0,8,0,0,1,1,12,0,0,0,0,5,0,1,4,1,0,7,0,6,0,0,10,0,0,4,0,0,1,0,0,0,0,5,0,0,0,1,2,0,0,3,0,1,0,0,0,6,0,0,0,0,1,0,2,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,4,2,0,0,1,5,0,0,0,3,3,0,0,0,12,0,0,10,0,0,0,1,0,10,0,2,8,0,1,0,0,0,5,0,1,4,3,6,0,2,3,9,0,2,8,4,11,1,2,0,6,0,1,2,1,21,0,1,1,3,0,0,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,32,45,16,30,21,53,0,0,77,43,224,0,40,52,89,116,103,253,273,264,158,296,198,124,118,149,99,94,159,1,1,1,2,5,2,0,0,18,8,22,0,14,110,22,10,17,46,51,38,16,43,10,10,5,2,1,8,3,1,28,0,0,1,0,1,0,16,8,5,0,0,1,2,0,8,2,1,4,2,0,0,4,3,0,0,5,3,0,3,0,1,0,0,4,0,14,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,3,4,0,0,0,11,0,0,3,4,4,2,27,26,9,8,5,7,0,0,0,0,0,0,0,0,2,1,1,3,3,1,0,0,4,0,1,3,0,2,0,1,11,2,0,18,3,10,0,4,6,2,7,17,4,15,0,4,0,5,0,14,22,5,18,0,3,0,13,2,19,35,7,42,3,3,0,8,1,15,64,10,35,3,4,0,10,4,21,55,2,42,3,1,0,8,0,0,7,2,21,3,3,0,17,0,18,52,3,53,6,2,0,13,1,3,42,0,27,3,3,3,2,2,1,18,3,30,3,3,3,14,3,0,14,6,11,2,0,0,8,2,0,9,0,17,0,0,0,5,4,2,6,2,3,1,1,0,9,0,3,17,0,1,0,0,1,3,1,2,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,48,0,2,102,4,2,5,1,0,0,0,0,0,1,3,0,1,2,0,5,2,1,2,8,18,31,7,3,7,10,0,1,7,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,5,1,0,1,4,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5,0,0,0,0,1,0,0,0,5,1,0,0,2,1,2,3,0,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,5,0,56,8,25,84,51,72,77,76,67,54,47,88,51,33,25,31,37,63,29,45,71,65,104,42,68,72,0,0,0,0,1,1,4,2,0,6,8,8,2,0,3,2,2,2,1,7,7,3,1,4,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,38,0,1,0,0,0,0,1,0,0,0,1,0,0,20,0,0,0,0,0,4,0,28,5,0,0,2,0,4,0,10,12,0,0,3,0,4,0,13,9,0,0,2,2,10,0,11,18,0,0,2,4,4,0,0,12,6,0,0,0,7,0,0,10,0,0,0,3,12,0,0,0,2,0,0,1,10,0,0,5,2,0,2,2,14,0,8,9,3,0,1,0,15,1,3,5,0,0,0,0,0,11,2,0,7,3,0,0,0,0,0,3,0,0,0,3,1,2,1,1,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,4,0,0,3,2,0,1,1,0,0,0,0,7,0,1,0,1,0,6,0,0,7,0,2,0,1,3,5,0,1,2,1,1,0,0,3,4,0,0,12,2,6,0,0,1,1,0,2,10,1,7,0,0,3,1,0,0,4,2,2,0,1,3,1,0,1,2,0,1,0,0,0,2,3,0,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
