Region,Group,1896,1900,1904,1906,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Afghanistan,Middle East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,Africa,,,,,,,,,,,,,,,,,,,,,2,,2,3,5,,2,1,2
Argentina,South America,,,,,,,,10,26,4,11,11,6,2,4,1,2,1,,,,13,2,20,20,49,51,19,22
Armenia,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,2,1,,6,3,4
Australia,Oceania,,,,,19,10,,,,,,,,,,,,,,,,,,,,,,,
Australia,Oceania,3,6,4,3,,,7,10,4,5,1,16,20,67,46,44,51,20,23,13,52,35,57,132,183,157,149,114,82
Austria,Western Europe,5,6,4,9,1,14,,4,5,5,55,8,3,4,3,,5,3,1,5,3,1,6,3,4,8,3,,2
Azerbaijan,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,7,10,18
Bahamas,North America,,,,,,,,,,,,,,2,,2,,,,,,,1,5,11,2,7,4,6
Bahrain,Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
Barbados,North America,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Belarus,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,23,22,15,29,23,12
Belgium,Western Europe,,43,,11,33,19,188,39,5,1,14,15,8,2,4,3,3,2,9,1,5,2,3,6,7,3,5,3,21
Bermuda,North America,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Botswana,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Brazil,South America,,,,,,,7,,,,,10,3,1,13,12,4,2,3,9,36,23,14,63,48,40,78,59,50
Bulgaria,Eastern Europe,,,,,,,,,,,,,1,18,7,10,26,22,39,90,,41,17,21,13,17,5,2,7
Burundi,Africa,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Cameroon,Africa,,,,,,,,,,,,,,,,,1,,,,1,,,,18,1,1,,
Canada,North America,,2,48,2,52,8,16,20,33,39,22,7,4,19,9,5,10,11,23,,87,23,44,50,31,17,35,55,69
Chile,South America,,,,,,,,,1,,,,4,4,,,,,,,,1,,,17,4,1,,
China,Asia,,,,,,,,,,,,,,,,,,,,,74,52,82,106,79,94,184,125,113
China,Asia,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,
Colombia,South America,,1,,,,,,,,,,,,,,,,3,,,1,1,1,,1,2,2,8,8
